category,name,file_path,status,privacy_scope,evidence_role,security_notes,next_action
service,service_services_storage_r2,app/services/storage/r2.py,Implemented,"Implements service logic for app/services/storage/r2. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/storage/r2 for data handling, audit logging, and access restrictions."
service,service_services_storage_tsa,app/services/storage/tsa.py,Implemented,"Implements service logic for app/services/storage/tsa. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/storage/tsa for data handling, audit logging, and access restrictions."
service,service_services_storage_utils,app/services/storage/utils.py,Implemented,"Implements service logic for app/services/storage/utils. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/storage/utils for data handling, audit logging, and access restrictions."
service,service_services_storage_vault_manager,app/services/storage/vault_manager.py,Implemented,"Implements service logic for app/services/storage/vault_manager. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/storage/vault_manager for data handling, audit logging, and access restrictions."
service,service_services_tenancy_hub,app/services/tenancy_hub.py,Implemented,"Implements service logic for app/services/tenancy_hub. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/tenancy_hub for data handling, audit logging, and access restrictions."
service,service_services_timeline_builder,app/services/timeline_builder.py,Implemented,"Implements service logic for app/services/timeline_builder. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/timeline_builder for data handling, audit logging, and access restrictions."
service,service_services_timeline_chronology,app/services/timeline_chronology.py,Implemented,"Implements service logic for app/services/timeline_chronology. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/timeline_chronology for data handling, audit logging, and access restrictions."
service,service_services_timeline_extraction,app/services/timeline_extraction.py,Implemented,"Implements service logic for app/services/timeline_extraction. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/timeline_extraction for data handling, audit logging, and access restrictions."
service,service_services_ui_composer,app/services/ui_composer.py,Implemented,"Implements service logic for app/services/ui_composer. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/ui_composer for data handling, audit logging, and access restrictions."
service,service_services_unified_overlay_manager,app/services/unified_overlay_manager.py,Implemented,"Implements service logic for app/services/unified_overlay_manager. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/unified_overlay_manager for data handling, audit logging, and access restrictions."
service,service_services_user_service,app/services/user_service.py,Implemented,"Implements service logic for app/services/user_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/user_service for data handling, audit logging, and access restrictions."
service,service_services_vault_ingestion,app/services/vault_ingestion.py,Implemented,"Implements service logic for app/services/vault_ingestion. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/vault_ingestion for data handling, audit logging, and access restrictions."
service,service_services_vault_search,app/services/vault_search.py,Implemented,"Implements service logic for app/services/vault_search. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/vault_search for data handling, audit logging, and access restrictions."
service,service_services_vault_upload_service,app/services/vault_upload_service.py,Implemented,"Implements service logic for app/services/vault_upload_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/vault_upload_service for data handling, audit logging, and access restrictions."
service,service_services_vertex_session_fix,app/services/vertex_session_fix.py,Implemented,"Implements service logic for app/services/vertex_session_fix. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/vertex_session_fix for data handling, audit logging, and access restrictions."
service,service_services_voice_service,app/services/voice_service.py,Implemented,"Implements service logic for app/services/voice_service. Must isolate sensitive data, limit retention, and avoid unnecessary PII processing.","Provides backend capabilities used by modules and routers, such as document processing or legal analysis.","Validate inputs, handle secrets safely, and ensure service outputs do not leak sensitive state.","Review service app/services/voice_service for data handling, audit logging, and access restrictions."
